"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","192","shouldCreateAndFilterUsersByName()","","2026-08-27","passed","2026-08-27","","tests.user.UserFilterTests","tests.user.UserFilterTests","shouldCreateAndFilterUsersByName"
"","208","shouldReturnValidJwtAfterLogin()","","2026-08-27","passed","2026-08-27","","tests.auth.LoginTests","tests.auth.LoginTests","shouldReturnValidJwtAfterLogin"
"","13","shouldReturn401WithInvalidSchema()","","2026-08-27","passed","2026-08-27","","tests.auth.AuthorizationTests","tests.auth.AuthorizationTests","shouldReturn401WithInvalidSchema"
"","167","shouldReturn401WithInvalidToken()","","2026-08-27","passed","2026-08-27","","tests.auth.AuthorizationTests","tests.auth.AuthorizationTests","shouldReturn401WithInvalidToken"
"","13","shouldReturn400WhenLocalPartIsMissing()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WhenLocalPartIsMissing"
"","61","shouldCreateUserWithJsonContentType()","","2026-08-27","passed","2026-08-27","","tests.user.UserProtocolTests","tests.user.UserProtocolTests","shouldCreateUserWithJsonContentType"
"","25","shouldReturn400WhenEmailContainsSpaces()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WhenEmailContainsSpaces"
"","131","shouldReturnEmptyListWhenNoUsersMatchName()","","2026-08-27","passed","2026-08-27","","tests.user.UserFilterTests","tests.user.UserFilterTests","shouldReturnEmptyListWhenNoUsersMatchName"
"","13","shouldReturn400WhenDomainIsMissing()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WhenDomainIsMissing"
"","163","shouldReturnAllUsers()","","2026-08-27","passed","2026-08-27","","tests.user.UserCrudTests","tests.user.UserCrudTests","shouldReturnAllUsers"
"","38","shouldReturn401WithEmptyHeader()","","2026-08-27","passed","2026-08-27","","tests.auth.AuthorizationTests","tests.auth.AuthorizationTests","shouldReturn401WithEmptyHeader"
"","40","shouldReturn401WithMalformedToken()","","2026-08-27","passed","2026-08-27","","tests.auth.AuthorizationTests","tests.auth.AuthorizationTests","shouldReturn401WithMalformedToken"
"","145","shouldCreateAndDeleteUser()","","2026-08-27","passed","2026-08-27","","tests.user.UserCrudTests","tests.user.UserCrudTests","shouldCreateAndDeleteUser"
"","54","shouldFilterUsersByName()","","2026-08-27","passed","2026-08-27","","tests.user.UserFilterTests","tests.user.UserFilterTests","shouldFilterUsersByName"
"","215","shouldReturn400WhenUsernameIsEmpty()","","2026-08-27","passed","2026-08-27","","tests.auth.LoginTests","tests.auth.LoginTests","shouldReturn400WhenUsernameIsEmpty"
"","4488","shouldReturnUsersMatchingSchema()","","2026-08-27","passed","2026-08-27","","tests.user.UserContractTests","tests.user.UserContractTests","shouldReturnUsersMatchingSchema"
"","66","shouldReturnErrorMatchingSchema()","","2026-08-27","passed","2026-08-27","","tests.user.UserContractTests","tests.user.UserContractTests","shouldReturnErrorMatchingSchema"
"","9","shouldGetUsersWithJsonAcceptHeader()","","2026-08-27","passed","2026-08-27","","tests.user.UserProtocolTests","tests.user.UserProtocolTests","shouldGetUsersWithJsonAcceptHeader"
"","14","shouldReturn401WithInvalidCredentials()","","2026-08-27","passed","2026-08-27","","tests.auth.LoginTests","tests.auth.LoginTests","shouldReturn401WithInvalidCredentials"
"","14","shouldReturn400WithInvalidEmailFormat()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WithInvalidEmailFormat"
"","13","shouldReturn400WhenNameIsEmpty()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WhenNameIsEmpty"
"","12","shouldReturn400WhenNameIsMissing()","","2026-08-27","passed","2026-08-27","","tests.user.UserValidationTests","tests.user.UserValidationTests","shouldReturn400WhenNameIsMissing"
"","38","shouldCreateAndCheckUser()","","2026-08-27","passed","2026-08-27","","tests.user.UserCrudTests","tests.user.UserCrudTests","shouldCreateAndCheckUser"
"","28","shouldReturnErrorWithUnsupportedContentType()","","2026-08-27","passed","2026-08-27","","tests.user.UserProtocolTests","tests.user.UserProtocolTests","shouldReturnErrorWithUnsupportedContentType"
"","16","shouldReturn404ForNotExistingUser()","","2026-08-27","passed","2026-08-27","","tests.user.UserCrudTests","tests.user.UserCrudTests","shouldReturn404ForNotExistingUser"
"","71","shouldLoginWithValidCredentials()","","2026-08-27","passed","2026-08-27","","tests.auth.LoginTests","tests.auth.LoginTests","shouldLoginWithValidCredentials"
"","103","shouldCreateAndUpdateUser()","","2026-08-27","passed","2026-08-27","","tests.user.UserCrudTests","tests.user.UserCrudTests","shouldCreateAndUpdateUser"
"","12","shouldReturn401WithoutToken()","","2026-08-27","passed","2026-08-27","","tests.auth.AuthorizationTests","tests.auth.AuthorizationTests","shouldReturn401WithoutToken"
"","32","shouldReturn400WhenPasswordIsEmpty()","","2026-08-27","passed","2026-08-27","","tests.auth.LoginTests","tests.auth.LoginTests","shouldReturn400WhenPasswordIsEmpty"
